title,artist,institution,licence,page_url,image_url,file,jpeg_bytes
The Night Watch,Rembrandt,Wikimedia Commons,Public domain,"https://commons.wikimedia.org/wiki/File:La_ronda_de_noche,_por_Rembrandt_van_Rijn.jpg",https://upload.wikimedia.org/wikipedia/commons/thumb/3/3a/La_ronda_de_noche%2C_por_Rembrandt_van_Rijn.jpg/1920px-La_ronda_de_noche%2C_por_Rembrandt_van_Rijn.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,assets/paintings/the-night-watch__rembrandt.jpg,735866
Self-Portrait,Rembrandt,Wikimedia Commons,Public domain,https://commons.wikimedia.org/wiki/File:Rembrandt_van_Rijn_-_Self-Portrait_-_Google_Art_Project.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/b/bd/Rembrandt_van_Rijn_-_Self-Portrait_-_Google_Art_Project.jpg/1920px-Rembrandt_van_Rijn_-_Self-Portrait_-_Google_Art_Project.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,assets/paintings/self-portrait__rembrandt.jpg,956446
The Anatomy Lesson of Dr. Nicolaes Tulp,Rembrandt,Wikimedia Commons,Public domain,https://commons.wikimedia.org/wiki/File:Rembrandt_-_The_Anatomy_Lesson_of_Dr_Nicolaes_Tulp.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/4/4d/Rembrandt_-_The_Anatomy_Lesson_of_Dr_Nicolaes_Tulp.jpg/1920px-Rembrandt_-_The_Anatomy_Lesson_of_Dr_Nicolaes_Tulp.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,assets/paintings/the-anatomy-lesson-of-dr-nicolaes-tulp__rembrandt.jpg,568168
The Jewish Bride,Rembrandt,Wikimedia Commons,Public domain,"https://commons.wikimedia.org/wiki/File:Rembrandt_Harmensz._van_Rijn_-_Portret_van_een_paar_als_oudtestamentische_figuren,_genaamd_%27Het_Joodse_bruidje%27_-_Google_Art_Project.jpg",https://upload.wikimedia.org/wikipedia/commons/thumb/0/0c/Rembrandt_Harmensz._van_Rijn_-_Portret_van_een_paar_als_oudtestamentische_figuren%2C_genaamd_%27Het_Joodse_bruidje%27_-_Google_Art_Project.jpg/1920px-Rembrandt_Harmensz._van_Rijn_-_Portret_van_een_paar_als_oudtestamentische_figuren%2C_genaamd_%27Het_Joodse_bruidje%27_-_Google_Art_Project.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,assets/paintings/the-jewish-bride__rembrandt.jpg,768177
The Arnolfini Portrait,Jan van Eyck,Wikimedia Commons,Public domain,https://commons.wikimedia.org/wiki/File:Van_Eyck_-_Arnolfini_Portrait.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/3/33/Van_Eyck_-_Arnolfini_Portrait.jpg/1920px-Van_Eyck_-_Arnolfini_Portrait.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,assets/paintings/the-arnolfini-portrait__jan-van-eyck.jpg,1136997
The Last Judgment,Hieronymus Bosch,Wikimedia Commons,Public domain,https://commons.wikimedia.org/wiki/File:Hieronymus_Bosch-_The_Seven_Deadly_Sins_and_the_Four_Last_Things.JPG,https://upload.wikimedia.org/wikipedia/commons/thumb/0/03/Hieronymus_Bosch-_The_Seven_Deadly_Sins_and_the_Four_Last_Things.JPG/1920px-Hieronymus_Bosch-_The_Seven_Deadly_Sins_and_the_Four_Last_Things.JPG?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,assets/paintings/the-last-judgment__hieronymus-bosch.jpg,1086180
The Garden of Earthly Delights,Hieronymus Bosch,Wikimedia Commons,Public domain,https://commons.wikimedia.org/wiki/File:The_Garden_of_Earthly_Delights_by_Bosch_High_Resolution.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/6/6d/The_Garden_of_Earthly_Delights_by_Bosch_High_Resolution.jpg/1920px-The_Garden_of_Earthly_Delights_by_Bosch_High_Resolution.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,assets/paintings/the-garden-of-earthly-delights__hieronymus-bosch.jpg,799463
The Hay Wain,John Constable,Wikimedia Commons,Public domain,https://commons.wikimedia.org/wiki/File:John_Constable_-_The_Hay_Wain_(1821).jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5e/John_Constable_-_The_Hay_Wain_%281821%29.jpg/1920px-John_Constable_-_The_Hay_Wain_%281821%29.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,assets/paintings/the-hay-wain__john-constable.jpg,924880
The Fighting Temeraire,J.M.W. Turner,Wikimedia Commons,Public domain,"https://commons.wikimedia.org/wiki/File:The_Fighting_Temeraire,_JMW_Turner,_National_Gallery.jpg",https://upload.wikimedia.org/wikipedia/commons/thumb/3/30/The_Fighting_Temeraire%2C_JMW_Turner%2C_National_Gallery.jpg/1920px-The_Fighting_Temeraire%2C_JMW_Turner%2C_National_Gallery.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,assets/paintings/the-fighting-temeraire__j-m-w-turner.jpg,568386
"Rain, Steam and Speed",J.M.W. Turner,Wikimedia Commons,Public domain,"https://commons.wikimedia.org/wiki/File:(Barcelona)_Rain,_Steam,and_Speed_After_William_Truner_-_1856-61_-_R.Brandard_-_Tate_Britain.jpg",https://upload.wikimedia.org/wikipedia/commons/thumb/2/24/%28Barcelona%29_Rain%2C_Steam%2Cand_Speed_After_William_Truner_-_1856-61_-_R.Brandard_-_Tate_Britain.jpg/1920px-%28Barcelona%29_Rain%2C_Steam%2Cand_Speed_After_William_Truner_-_1856-61_-_R.Brandard_-_Tate_Britain.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,assets/paintings/rain-steam-and-speed__j-m-w-turner.jpg,1249541
